formula_id,expression,notes
eu_agi_gain_monthly,"base_research * sqrt(compute_used / compute_optimal) * min(1,researchers_available/researchers_required) * (1+ai_tech_bonus) * grid_stability_factor",compute_optimal interpole entre compute_optimal_start et compute_optimal_end selon progression AGI.
monthly_income,80 + population_units*2 + eu_agi_percent*3 + economy_tech_count*30 - blackout_penalty - co2_penalty,Boucle positive IA mais pénalités fortes.
energy_transfer_received,energy_sent * distance_efficiency * volume_efficiency,Résolution automatique des imports; distance générée par BFS.
researcher_efficiency,"min(1,researchers_available/researchers_required_total)","Sous-effectif = efficacité réduite, pas blocage total."
construction_cancel_refund,"cost_total * lerp(0.50,0.75,construction_progress)",Jamais 100% pour conserver la tension de planification.
runtime_constants_source,balance_constants.json,Source de vérité runtime P0 pour constantes gameplay et économie. global_constants.csv est documentaire/fallback.
network_topology_source,network_graph.json -> BFS distance matrix at load time,"Source de vérité réseau; network_edges/matrix/generated CSV servent au debug, aux tests ou au fallback."
region_layout_source,region_layout.json normalized_map_0_1,Positions des points capitales précalculées depuis les centroïdes des polygones; region_layout.csv est un miroir éditable.
resource_accounting_contract,"production/capacity = max(0, *_delta); demand/requirements = consumes_*; negative *_delta ignored for P0 runtime","Évite le double comptage. output_amount sert à l’affichage, au debug et aux formules de scaling."
co2_cooling_watchlist,CO2 tiers and starting cooling must be retested after first playable loop; do not block P0 implementation,Risque connu: pression CO2 trop rapide et refroidissement de départ potentiellement trop généreux.
